,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_One year,Contract_Two year,Churn
4130,0,0,0,10,0,0,0,1,0,1,0,0,0,36.25,374.0,0,0,0,0,0,1,0,0,0,0
1680,0,1,1,56,1,1,0,0,0,0,0,0,1,24.45,1431.65,1,0,1,0,0,0,1,1,0,0
3541,0,1,0,49,0,0,1,0,0,0,1,0,0,40.65,2070.75,0,0,0,1,0,0,0,0,0,0
5550,1,0,0,21,1,0,0,0,0,0,0,0,0,20.5,429.55,1,0,1,1,0,0,0,1,0,0
5313,0,1,0,56,1,0,0,0,0,0,1,1,0,89.7,4952.95,1,1,0,0,0,0,1,0,0,0
5398,0,0,0,2,1,0,0,0,0,0,0,0,0,19.75,39.3,1,0,1,0,0,0,1,0,0,0
2140,0,1,1,33,1,1,0,0,0,0,0,1,0,86.15,2745.7,0,1,0,0,1,0,0,0,0,1
368,0,1,0,71,1,1,0,0,1,0,1,1,1,98.65,6962.85,1,1,0,0,1,0,0,1,0,0
4013,0,0,0,2,1,1,0,0,0,1,0,0,1,54.35,117.05,0,0,0,0,0,0,1,0,0,0
836,0,1,1,62,1,0,1,0,1,1,0,1,0,71.4,4487.3,1,0,0,0,1,0,0,1,0,0
917,0,0,0,72,0,0,1,1,1,1,1,1,1,65.55,4807.45,1,0,0,1,0,0,0,0,1,0
4638,0,0,0,2,1,1,0,0,0,0,0,0,1,75.55,166.3,0,1,0,0,0,1,0,0,0,1
2566,0,1,1,65,1,1,1,1,1,1,1,1,0,91.55,5963.95,0,0,0,1,0,0,0,0,1,0
5842,0,0,0,13,1,1,1,0,1,0,1,1,1,78.75,995.35,0,0,0,0,0,1,0,0,0,0
3824,0,0,0,4,1,0,0,0,0,0,0,1,1,55.3,238.5,1,0,0,0,0,0,1,0,0,0
4394,0,0,0,19,1,1,0,0,1,1,0,0,0,59.55,1144.6,1,0,0,0,0,1,0,0,0,0
5690,0,0,0,72,0,0,1,0,1,1,1,1,1,61.2,4390.25,1,0,0,0,1,0,0,0,1,0
85,0,0,0,9,1,1,0,1,0,0,1,1,1,99.3,918.75,1,1,0,0,1,0,0,0,0,0
6153,0,1,1,60,1,0,0,0,0,0,0,0,1,20.95,1270.55,1,0,1,1,0,0,0,0,1,0
4758,0,0,0,56,1,0,0,0,0,0,0,0,0,19.7,1051.9,0,0,1,1,0,0,0,0,1,0
2441,1,0,0,2,1,0,0,0,0,0,1,0,0,81.5,162.55,0,1,0,0,0,0,1,0,0,0
144,1,1,0,71,1,1,0,0,0,0,0,0,0,23.95,1756.2,1,0,1,1,0,0,0,0,1,0
647,0,1,1,50,1,1,0,0,1,1,1,0,1,69.65,3442.15,1,0,0,0,0,1,0,1,0,0
3039,1,1,0,72,0,0,1,1,1,1,1,1,1,64.45,4641.1,1,0,0,0,1,0,0,0,1,0
5569,1,1,0,3,1,0,0,0,0,1,1,0,1,83.9,267.4,0,1,0,0,0,0,1,0,0,1
4370,0,1,0,21,1,0,1,0,1,1,1,1,0,80.9,1714.95,0,0,0,0,0,0,1,1,0,0
2173,0,0,0,4,1,0,0,0,1,0,0,1,0,86.05,308.1,1,1,0,0,0,1,0,0,0,0
2821,1,1,0,1,1,1,0,0,0,0,0,0,1,74.4,74.4,1,1,0,0,0,1,0,0,0,1
1758,0,0,0,68,1,0,0,0,0,0,0,0,0,20.05,1386.9,0,0,1,1,0,0,0,0,1,0
285,0,0,0,22,1,1,0,0,0,0,0,0,1,76.0,1783.6,0,1,0,0,1,0,0,1,0,0
6462,0,0,0,2,1,0,0,1,0,0,1,1,0,95.65,167.3,1,1,0,0,0,1,0,0,0,1
1307,0,0,0,36,1,0,1,1,1,1,0,1,1,75.55,2680.15,0,0,0,0,0,0,1,1,0,0
10,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,1,0,0,0,0,0,1,0,0,0
1951,0,1,0,14,1,0,0,0,1,0,0,0,0,50.2,668.85,1,0,0,0,1,0,0,0,0,0
2614,0,1,1,67,1,1,1,0,0,1,0,1,1,94.35,6341.45,0,1,0,0,1,0,0,1,0,1
1016,0,1,0,71,1,1,1,1,1,1,0,1,1,80.1,5585.4,1,0,0,0,0,0,1,0,1,0
1292,0,0,0,62,1,1,0,1,1,1,1,1,0,84.5,5193.2,0,0,0,1,0,0,0,0,1,0
5941,0,0,0,36,0,0,0,1,0,1,0,0,1,34.85,1267.2,0,0,0,1,0,0,0,0,0,0
5305,0,1,0,43,1,0,1,0,1,1,1,1,1,78.8,3460.3,0,0,0,0,0,1,0,0,1,0
22,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,0,1,0,0,0,1,0,0,1
3372,1,0,0,57,1,1,0,1,0,1,1,1,1,104.9,5913.95,1,1,0,1,0,0,0,0,0,0
5816,0,0,0,3,1,0,0,0,0,0,0,0,0,44.6,122.7,0,0,0,0,0,1,0,0,0,0
2206,1,1,0,57,1,1,0,1,1,0,0,1,1,95.25,5427.05,1,1,0,1,0,0,0,0,0,1
5815,1,0,0,9,1,1,0,0,0,0,0,1,1,85.05,746.5,1,1,0,0,0,1,0,0,0,1
5870,0,1,1,5,1,1,0,0,0,0,0,0,1,25.9,135.0,1,0,1,1,0,0,0,0,0,1
5269,0,0,0,10,1,0,0,1,0,0,1,0,1,59.65,638.95,1,0,0,0,0,0,1,0,0,0
5523,0,1,0,7,1,0,0,0,0,0,0,0,1,69.2,477.55,0,1,0,1,0,0,0,0,0,0
2261,0,1,0,49,1,1,0,0,0,0,0,0,1,52.15,2583.75,0,0,0,0,1,0,0,0,0,0
5200,0,1,1,70,1,1,0,1,1,0,1,1,1,106.5,7397.0,0,1,0,0,0,1,0,1,0,0
1484,1,1,0,71,1,0,0,1,1,0,1,1,1,99.2,7213.75,0,1,0,0,0,1,0,0,1,0
2661,0,0,0,66,0,0,1,1,1,1,0,0,1,47.4,3177.25,0,0,0,0,0,0,1,0,1,0
5011,1,1,0,43,1,1,1,1,0,0,1,0,1,94.5,4156.8,0,1,0,0,0,1,0,0,0,0
2854,0,1,1,17,1,1,1,0,1,0,1,0,1,70.35,1201.65,1,0,0,1,0,0,0,1,0,0
1014,0,1,1,18,1,0,0,0,1,0,0,1,0,57.45,990.85,1,0,0,0,0,1,0,0,0,1
4790,1,1,0,31,1,1,0,0,0,0,0,1,1,84.85,2633.4,0,1,0,0,0,1,0,0,0,0
483,0,1,0,72,1,1,0,1,1,1,1,1,1,108.5,8003.8,0,1,0,1,0,0,0,1,0,0
1538,0,0,0,8,1,1,0,1,0,0,1,1,0,100.85,819.55,1,1,0,0,0,1,0,0,0,1
1814,0,1,1,12,1,0,0,0,0,0,0,0,0,19.7,258.35,1,0,1,0,0,0,1,0,1,0
5609,0,1,0,29,1,1,0,1,0,0,0,0,1,80.15,2265.25,1,1,0,1,0,0,0,0,0,1
4652,0,0,0,23,1,0,0,0,0,0,0,0,1,19.65,478.1,0,0,1,0,1,0,0,1,0,0
1896,0,0,0,38,1,1,1,1,1,1,0,0,0,69.95,2657.55,1,0,0,0,0,1,0,0,0,0
269,0,1,0,71,1,1,0,0,0,0,0,0,1,24.25,1732.95,0,0,1,0,1,0,0,0,1,0
2871,0,1,0,14,1,1,0,0,0,0,1,0,1,86.1,1235.55,1,1,0,0,0,1,0,0,0,1
5566,0,1,0,72,1,1,0,1,1,0,1,1,0,82.15,5784.3,1,0,0,1,0,0,0,0,1,0
5652,0,0,0,1,1,0,0,1,0,0,0,0,1,48.6,48.6,0,0,0,0,0,1,0,0,0,0
6989,0,1,1,20,1,1,1,0,0,0,1,1,0,76.0,1588.75,0,0,0,1,0,0,0,1,0,0
2581,0,0,0,10,1,0,0,0,0,0,0,0,0,20.0,198.7,1,0,1,0,1,0,0,0,0,0
3917,1,0,0,1,1,0,0,0,0,0,0,0,0,69.1,69.1,1,1,0,0,0,1,0,0,0,1
